Word,Count
java.text.SimpleDateFormat,1
Text,1
quickly,1
(absolute),1
root,1
Dec,1
binding,1
given,1
q,1
-------------------------------,1
abbreviations:,1
Observaciones,1
capability,1
refresh,1
checks,1
win.populate(string);,1
\cal.addDisabledDates(null,\,1
case,1
applies,1
\date_string,\,1
international,1
d-M,1
tags,1
allows,1
refresh(),1
Padding,1
\dates,\,1
eval(attr.value,1
5),1
\dd,\,1
0.9,1
including,1
\5.x,6.x\,1
recommended,1
\"\this\,1
\"\including\,1
(0-11),1
\including"\\,1
probably,1
though,1
.test(url),1
like:,1
perfectly,1
bugs,1
Opera,1
fix,1
win.showPopup(anchorname);,1
k,1
\"\anything\,1
characters,1
behavior,1
\cal.addDisabledDates("\Jan\,1
against,1
\License,\,1
share,1
Same,1
BETWEEN,1
libraries,1
processed,1
parseDate(,1
Host:,1
\HREF="\#"\\,1
\string,\,1
look-and-feel,1
Reservado,1
PHP,1
\window,\,1
\2003"\);\,1
\19,\,1
appearing,1
world,1
showCalendar(),1
cal.setDisplayType(type);,1
size,1
offset,1
location,1
word,1
\id='"\.$item->id_producto."\'\,1
else,1
NOTE,1
HttpRequest,1
version:,1
sucks,1
\"\Dec\,1
h,1
since,1
popups,1
xajax,1
M,1
block,1
padding,1
General,1
onMouseDown,1
\d,y\,1
inicial,1
Convert,1
fecha::timestamp2normalyhora(,1
property,1
terms,1
ie55,1
(1-12),1
detected,1
MMM-d,1
\site,\,1
Due,1
regardless,1
2.9.1.1-Debian-3,1
\name,\,1
ss,1
FUNCTIONS:,1
Full,1
range,1
PM,1
Agregando,1
did,1
And,1
hard-code,1
$rs,1
above,1
hash,1
*****************************************************************************,1
thought,1
$reg->cantidad_reserva,1
because,1
Estado:,1
global,1
\product,\,1
dependency,1
imports,1
falls,1
grid,1
formatDate,1
UPDATE,1
alter,1
border-box,1
end,1
codes,1
---------------------,1
internal,1
delt,1
\"\this"\\,1
getAnchorPosition,1
\cantidad_reserva=cantidad_reserva+"\.$item->cantidad."\\,1
THE,1
ability,1
ie,1
drop-down,1
listing,1
\"\January\,1
coloring,1
11-12-2008,1
=printif(,1
kept,1
y-MMM-d,1
border,1
\class,\,1
\this,\,1
\MONTH,\,1
while(,1
model,1
parseError,1
CUIT,1
\7,\,1
M.d.y,1
cal.showCalendar(anchorname);,1
K,1
has,1
s,1
June,1
Titulo,1
page's,1
`_demo_sistdist`,1
\'<?=$_SERVER['PHP_SELF']?>?id_padre=<?=$id_padre?>'"\>\,1
\cal.setDayHeaders("\S"\,"\M"\,"\T"\,...);\,1
Temporary,1
calendars,1
outside,1
dd,1
update,1
\win.setUrl("\http://www.site.com/"\);\,1
.js,1
getDateFromFormat(,1
(these,1
(absolute,1
whose,1
disable:,1
trap,1
id_pedido,1
Easy,1
win.offsetX,1
Note,1
\hash,\,1
DHTML,1
$item->id_estado_item,1
\cal.setMonthNames("\January"\,"\February"\,"\March"\,...);\,1
MONTH,1
\private,\,1
element,1
$cantidad,1
E,1
requests,1
commercial,1
public,1
nice,1
cal.showYearNavigation();,1
member,1
cal.setReturnFunction(functionname);,1
constants,1
search,1
Compare,1
No,1
server,1
$item,1
Renamed,1
otherwise,1
NNN,1
\CLASS="\cpTodayTextDisabled"\>Today<SPAN>\,1
final,1
none,1
shown,1
0.2.4,1
some,1
\position,\,1
-1,1
handlers,1
Segundo,1
messages,1
Removed,1
Call,1
At,1
\value="\Aceptar"\>&nbsp;<input\,1
Pendiente,1
patterns,1
continue,1
compatibility,1
\(date_object,\,1
02:15:35,1
anywhere,1
cal.offsetY,1
trim,1
items,1
decide,1
weekday,1
yy,1
IE6,1
formatted,1
put,1
wierdest,1
Support,1
next,1
options,1
\"\SELECT\,1
sniffing,1
Simple,1
even,1
Utility,1
via,1
cal.setReturnMonthFunction(functionname);,1
Run,1
single,1
Can't,1
host,1
\clickable,\,1
http://students.infoiasi.ro/~mishoo,1
2002,1
KK,1
$USER->timestamp_sesion,1
2nd,1
take,1
rather,1
Extract,1
MS,1
control,1
text-entry,1
\cal.addDisabledDates("\January\,1
still,1
efficiency,1
Shadow,1
Monday,1
around,1
idea),1
\off-screen,\,1
hack,1
been,1
\y"\\,1
(0-23),1
\changed,\,1
(european,1
I,1
normal,1
clicks,1
field,1
\name="\Button"\\,1
Public,1
test,1
9/2/00,1
\4.x,6.x,Mozilla,\,1
sunday,1
field's,1
<,1
further,1
\ranges,\,1
CalendarPopup.js,1
HTMLElement,1
width/height,1
PopupWindow();,1
popping,1
d/M,1
wish,1
height/width,1
cross,1
prefer_euro_format],1
\cal.setDisabledWeekDays(0,1);\,1
updates,1
hh,1
isDate,1
Second,1
Calendar-specific,1
Builds,1
Common,1
DATE,1
US,1
order:,1
\1,\,1
cal.showNavigationDropdowns();,1
\value="\Cancelar"\\,1
Database:,1
\Monday(1),\,1
tell,1
\QUARTER,\,1
PAGE,1
cases,1
::,1
move,1
EE,1
ready,1
\Otherwise,\,1
PopupWindow('mydiv');,1
objects,1
\24,\,1
say,1
------------------------,1
To,1
sheets,1
whether,1
\"\M/d/yy"\\,1
\12:30:45AM"\\,1
\alert("\str2:\,1
somewhere,1
hidden,1
5.0.32,1
Generation,1
\value,\,1
So,1
A,1
NOTICE:,1
Fill,1
1st,1
Else,1
\is,\,1
dateFormat);,1
\with,\,1
str2);,1
12:13,1
CalendarPopup();,1
win.refresh();,1
graypixel.gif,1
H,1
Reid,1
made,1
check,1
\match,\,1
bufferEmpty,1
paint,1
chequeo,1
DO,1
yet,1
\"\01/02/03"\);\,1
per-calendar,1
borders,1
imagen,1
inbetween,1
thrown,1
\cal.setCssPrefix("\Test"\);\,1
\CLASS="\TestcpTodayTextDisabled"\>Today<SPAN>\,1
easily,1
instance,1
'month',1
str);,1
Please,1
d-MMM-y,1
100;,1
Chris,1
sizing,1
\cal.setMonthAbbreviations("\Jan"\,"\Feb"\,"\Mar"\,...);\,1
Examples:,1
Selectively,1
assumes,1
win.hidePopup();,1
Returns:,1
x,1
\number,\,1
modified,1
fit,1
\drop-down,\,1
plain,1
\cal.setTodayText("\Today"\);\,1
+/-,1
Celular,1
listener,1
escaped,1
cause,1
populate,1
white,1
\20,\,1
pure,1
Server,1
content,1
$reg->cantidad_real,1
4,1
(default),1
<input,1
WWW:,1
itself,1
cal.setWeekStartDay(1);,1
\onClick="\cal.select(document.forms[0].date,'anchorname','MM/dd/yyyy');\,1
(only,1
GNU,1
Disable,1
free,1
'format',1
possible,1
(0),1
starts,1
Properties,1
------------------------------------,1
exceptions,1
\directory"\\,1
18-12-2008,1
Minute,1
specified,1
\windows,\,1
left,1
showYearNavigationInput,1
(name,1
quicker,1
conventions,1
implements,1
Feb,1
Disabled,1
now,1
want,1
That,1
today,1
\"\"\);\,1
Sumando,1
dropdowns,1
selection,1
Is,1
50;,1
Need,1
&&,1
FIXME:,1
path;,1
required,1
entities,1
unselectable,1
pages,1
00,1
gray,1
hours,1
(Thanks,1
\means,\,1
cal.showYearNavigationInput();,1
\compareDates(date1,date1format,date2,date2format)\,1
\"\name://"\\,1
please,1
autoHide,1
1900,1
<STYLE>,1
si,1
Does,1
object),1
(4,1
win.autoHide();,1
SimpleDateFormat,1
until,1
common,1
Email,1
onmouseup,1
while,1
run,1
-------------+--------------------+-----------------------,1
Apellido,1
Correct,1
Thank,1
Border,1
\dropdowns,\,1
DIV/popup,1
